regulator	target
PBX3	hsa-mir-23a
E2F6	hsa-mir-24-2
GTF2B	hsa-mir-24-2
PBX3	hsa-mir-24-2
E2F6	MIR641
PBX3	MIR641
E2F6	MIR1306
GTF2B	MIR1306
PBX3	MIR1306
E2F6	MIR301B
E2F6	MIRLET7A3
GTF2B	MIRLET7A3
E2F6	hsa-let-7b
GTF2B	hsa-let-7b
E2F6	MIR1249
GTF2B	MIR16-2
ELF1	MIR16-2
GTF2B	hsa-mir-15b
ELF1	hsa-mir-15b
GTF2B	SNORD138
ELF1	SNORD138
GTF2B	hsa-mir-223
PBX3	hsa-mir-223
GTF2B	hsa-mir-21
PBX3	hsa-mir-21
BRF1	hsa-mir-21
GTF2B	POLR2E
RUVBL2	POLR2E
INTS3	POLR2E
RUVBL1	POLR2E
PPP1CA	POLR2E
ST7	POLR2E
INTS6	POLR2E
RPA3	POLR2E
POLR2K	POLR2E
SNW1	POLR2E
RPS5	POLR2E
RPRD1B	POLR2E
POLR2E	POLR2E
ZSCAN1	POLR2E
GTF2B	POLR2C
INTS3	POLR2C
NELFB	POLR2C
INTS6	POLR2C
POLR2K	POLR2C
RPRD1B	POLR2C
POLR2E	POLR2C
POLR2C	POLR2C
hsa-let-7b	POLR2C
ELF1	MIR627
ELF1	MIR644A
ELF1	MIR3928
PBX3	MIR3928
ELF1	NASP
OTUB1	NASP
H3-3B	NASP
RBBP7	NASP
MAT2B	NASP
ASF1B	NASP
ELF1	CLIC1
MTHFD2	CLIC1
OTUB1	CLIC1
GABARAPL1	CLIC1
ATP6V0C	CLIC1
ANLN	CLIC1
EPB41	CLIC1
ELF1	MR1
FATE1	MR1
hsa-mir-146a	MR1
ETV4	MR1
ELF1	MYADM
CD244	MYADM
GTF3A	MYADM
ELF1	FUT11
CDC5L	FUT11
CPA6	FUT11
ETV4	FUT11
ELF1	RAB25
RAB25	RAB25
CDK15	RAB25
ELF1	ADD3
LHX3	ADD3
ELF1	NCK1
CELSR3	NCK1
EPS15	NCK1
CYP4F2	NCK1
MAP4K3	NCK1
MYRIP	NCK1
NELFB	NCK1
RAD54L	NCK1
SUV39H2	NCK1
BAZ2A	NCK1
WIPF2	NCK1
ELF1	MRPL24
RBM4	MRPL24
ELF1	PLCB2
PLCB2	PLCB2
FOXF2	PLCB2
ELF1	PCDH9
FOXF2	PCDH9
ELF1	SAMSN1
CDC5L	SAMSN1
ELF1	PFKFB4
ELF1	PTPRH
CORO1C	PTPRH
PTPRH	PTPRH
ELF1	RASGRP3
DYNLL2	RASGRP3
ELF1	AKT1S1
AKT1S1	AKT1S1
FOXF2	AKT1S1
PBX3	hsa-mir-34a
PBX3	MIR571
PBX3	hsa-mir-146a
PBX3	MIR23C
PBX3	hsa-mir-491
PBX3	MIR602
PBX3	MIR492
PBX3	MIR770
PBX3	hsa-mir-433
PBX3	MIR365B
PBX3	MIR298
PBX3	MIR1914
PBX3	hsa-mir-155
PBX3	MAGEA1
RAB17	MAGEA1
SRRT	MAGEA1
IQGAP2	MAGEA1
SNW1	MAGEA1
LRSAM1	MAGEA1
PBX3	PTPN9
CMTM5	PTPN9
STRAP	PTPN9
CMTM4	PTPN9
MAL2	PTPN9
DDX20	PTPN9
PTPN9	PTPN9
PBX3	MAL2
POLL	MAL2
SH3GLB1	MAL2
PBX3	CMTM4
CMTM6	CMTM4
hsa-mir-373	CMTM4
PBX3	SMPD2
SRPRB	SMPD2
TMED6	SMPD2
FAM189B	SMPD2
SLC10A1	SMPD2
SLC7A8	SMPD2
RPN2	SMPD2
PBX3	ARFIP2
CMTM5	ARFIP2
ING5	ARFIP2
RND1	ARFIP2
PLP2	ARFIP2
LNX1	ARFIP2
MAL2	ARFIP2
SNX5	ARFIP2
SH3GLB1	ARFIP2
ARFIP2	ARFIP2
LY6D	ARFIP2
hsa-mir-155	ARFIP2
BRF1	MIR1468
BRF1	MIR1299
BRF1	MIR1269B
BRF1	MIR133A1
BRF1	MIR646
SPAG5	TTC23
PNMA1	TTC23
CBX8	TTC23
SPAG5	SLC9C1
SPAG5	MAPRE1
KIF2C	MAPRE1
CEP131	MAPRE1
MAPRE1	MAPRE1
ADD3	MAPRE1
KLHL21	MAPRE1
DYNLRB1	MAPRE1
LUZP1	MAPRE1
TAOK2	MAPRE1
KIF18B	MAPRE1
GTF3A	MAPRE1
